b_values,loglikelihood
1.0,1364.8899595196424
1.4736842105263157,1624.1051560653784
1.9473684210526314,1133.9050063416173
2.4210526315789473,2562.558701896888
2.894736842105263,1418.6676674369094
3.3684210526315788,1671.3007132461742
3.8421052631578947,1256.6232317739432
4.315789473684211,1515.4529281573275
4.789473684210526,1056.0183795259913
5.263157894736842,1606.4594428716812
5.7368421052631575,1189.2445058582337
6.2105263157894735,2419.4972650737827
6.684210526315789,1424.4831230880936
7.157894736842105,1893.2181133003246
7.63157894736842,2185.3997827188914
8.105263157894736,1247.7910145165924
8.578947368421051,1425.7831044106806
9.052631578947368,1620.361614203542
9.526315789473683,1033.9449777073314
10.0,2414.6591602758476
